keys,ru
TR_GEN_CYRUS,"Генерал Сайрус"
TR_COM_BLAKE,"Коммандос Блейк"
TR_PREZ_GIDEON,"Президент Гидеон"
TR_WAR_GRIM,"Военачальник Грим"
TR_PRI_TYBALT,"Принц Тибальт"
TR_ACT_PILOT,"Пилот"
TR_ACT_OPERATOR,"Оператор"
TR_ACT_GUARD,"Страж"
TR_ACT_SCOUT,"Разведчик"
TR_NOB_SIDNEY,"Дворянин Сидни"
TR_ACT_MESSENGER,"Посланник"
TR_GENT_ARCHI,"Джентльмен Арчибальд"
TR_LORD_DAWSON,"Лорд Доусон"
TR_ACT_SERGEANT,"Сержант"
TR_ACT_SOLDIER,"Солдат"
TR_ACT_OFFICER,"Офицер"
TR_ACT_KNIGHT,"Рыцарь"
TR_CAP_CLAUDE,"Капитан Клод"
TR_CHANC_IRENE,"Канцлер Ирен"
TR_ADM_TORSTEN,"Адмирал Торстен"
TR_ACT_ENGINEER,"Инженер"
TR_KING_LUDWIG,"Король Людвиг"
