keys,ru
TR_CAMPAIGN,"Кампания"
TR_SKIRMISH,"Схватка"
TR_EDITOR,"Редактор"
TR_SETTINGS,"Настройки"
TR_CONTROLS,"Управление"
TR_QUIT,"Выйти из игры"
TR_BACK,"Назад"
TR_NEXT,"Далее"
TR_PREV,"Назад"
TR_SELECT,"Выбрать"
TR_START,"Начать"
TR_LOCKED,"Заблокировано"
TR_VIDEO,"Видео"
TR_GRAPHICS,"Графика"
TR_AUDIO,"Звук"
TR_GAMEPLAY,"Игра"
TR_ON,"Вкл."
TR_OFF,"Выкл."
TR_MASTER,"Общая громкость"
TR_MASTER_DESC,"Общая громкость звука"
TR_SFX,"Эффекты"
TR_SFX_DESC,"Громкость звуковых эффектов: щелчков, взрывов и т. п."
TR_MUSIC,"Музыка"
TR_MUSIC_DESC,"Громкость фоновой музыки"
TR_HQ_CAM,"Камера к штабу"
TR_HQ_CAM_DESC,"Автоматически перемещать камеру к штабу текущего игрока в начале его хода."
TR_CAM_SHAKE,"Тряска камеры"
TR_CAM_SHAKE_DESC,"Трясти камеру при взрывах."
TR_DEF_CAM_ST,"Стиль по умолчанию"
TR_DEF_CAM_ST_DESC,"Стиль камеры по умолчанию при загрузке карты."
TR_LANG,"Язык"
TR_LANG_DESC,"Язык интерфейса"
TR_MSAA,"MSAA"
TR_MSAA_DESC,"Интенсивность сглаживания для более плавных краёв."
TR_FXAA,"FXAA"
TR_FXAA_DESC,"Быстрый метод сглаживания. Изображение может выглядеть размытым."
TR_VSYNC,"Вертикальная синхронизация"
TR_VSYNC_DESC,"Вертикальная синхронизация предотвращает разрывы изображения."
TR_FPS_L,"Лимит FPS"
TR_FPS_L_DESC,"Ограничение частоты кадров"
TR_IPS_L,"Частота ввода"
TR_IPS_L_DESC,"Частота обработки ввода. Более высокое значение делает управление плавнее, но сильнее нагружает процессор."
TR_FULLSCREEN,"Полный экран"
TR_FULLSCREEN_DESC,"Переключить игру в полноэкранный режим. Доступно только на устройствах, поддерживающих оконный режим."
TR_SHADOWS,"Тени"
TR_SHADOWS_DESC,"Глобальные тени."
TR_DECO,"Декорации"
TR_DECO_DESC,"Показывать декоративные элементы: траву, цветы и т. п."
TR_DECO_SHAD,"Тени декораций"
TR_DECO_SHAD_DESC,"Включить тени декоративных элементов. Зависит от глобальной настройки теней."
TR_GAME,"Игра"
TR_CAMERA,"Камера"
TR_CAM_SW,"Сменить камеру"
TR_ZOOM,"Масштаб"
TR_NAV,"Навигация"
TR_MENU,"Меню"
TR_END_TURN,"Завершить ход"
TR_UNIT_STATS,"Характеристики юнита"
TR_UNDO,"Отменить"
TR_CHANGE_TILE,"Изменить клетку"
TR_ROTATE,"Повернуть"
TR_CLEAR,"Очистить"
TR_ALTERNATIVE,"Альтернатива"
TR_BANS,"Запреты"
TR_AI_TOGGLE,"ИИ юнита"
TR_SAVE,"Сохранить"
TR_LOAD,"Загрузить"
TR_CANCEL,"Отмена"
TR_SAP_DAWN,"Сапфировый Рассвет"
TR_RUBY_DUSK,"Рубиновый Закат"
TR_AMBER_NOON,"Янтарный Полдень"
TR_JADE_TWILIGHT,"Нефритовые Сумерки"
TR_OBS_NIGHT,"Обсидиановая Ночь"
TR_HUMAN,"Человек"
TR_SWAP,"Поменять"
TR_SAVE_LOAD,"Сохранить/загрузить игру"
TR_MAIN_MENU,"Главное меню"
TR_ENDING_TURN,"Завершение хода"
TR_TURN,"Ход"
TR_CONTINUE,"Продолжить"
TR_RESTART,"Перезапустить"
TR_SAP_DAWN_WIN,"Сапфировый Рассвет побеждает!"
TR_RUBY_DUSK_WIN,"Рубиновый Закат побеждает!"
TR_AMBER_NOON_WIN,"Янтарный Полдень побеждает!"
TR_JADE_TWI_WIN,"Нефритовые Сумерки побеждают!"
